"","sim","sample","type","control_mean","control_sd","beta","se","t_stat","pval"
"339",339,8500,"Logged",4.5445098606536,1.36473166581331,0.0221547265678975,0.0292692440136785,0.756928554681625,0.449113651915192
"340",340,9000,"Logged",4.54887893540862,1.36342815636707,0.00363103560213807,0.0284563310421525,0.127600272739286,0.89846816668299
"341",341,9500,"Logged",4.53106291997959,1.34205543534893,0.0235871212828499,0.0276548403739618,0.85291113468361,0.393730093636685
"342",342,10000,"Logged",4.55182168777695,1.33280351465794,-0.019698474771224,0.0269478104973563,-0.730986095258335,0.464804776168617
"343",343,10500,"Logged",4.54106504816737,1.32939460099433,0.0093096764475433,0.0262105908209555,0.355187584710992,0.722456200705221
"344",344,11000,"Logged",4.54687949034064,1.33027763935874,0.00357911970403628,0.0255924697007934,0.139850500787164,0.888780672359242
"345",345,11500,"Logged",4.55057419386212,1.33388065035509,0.00338394735203727,0.0250129542408318,0.135287792055895,0.892386705044714
"346",346,12000,"Logged",4.5186398169012,1.357248269811,0.07367155398652,0.0244584959375268,3.01210483975367,0.00259983612204766
"347",347,12500,"Logged",4.54346345329751,1.3620238413621,0.0233340153673763,0.0239834602755307,0.972921133952593,0.33061132967427
"348",348,13000,"Logged",4.57955745617301,1.31360401038819,-0.0425430690221073,0.0234947924627965,-1.81074461881174,0.0702034709443216
"349",349,13500,"Logged",4.58210162981131,1.32842969694294,-0.0481420578561948,0.0230765962473274,-2.08618538627725,0.03698055987584
"350",350,14000,"Logged",4.57091906082284,1.32661946623314,-0.0227550231829879,0.0226669673046681,-1.0038847666358,0.315451512741909
"351",351,1000,"Logged",4.41499239974421,1.41653044170929,0.179137911410509,0.0880611335856601,2.03424489461353,0.0421909162796154
"352",352,1500,"Logged",4.51307602285611,1.33301025977149,0.0583548707533952,0.0703294047097095,0.829736452260045,0.406820009316793
"353",353,2000,"Logged",4.56574578426449,1.31824954054494,-0.0368624890659133,0.0610051344482295,-0.604252238755341,0.545744559296197
"354",354,2500,"Logged",4.5002183147037,1.42439148116744,0.0732255706559299,0.0545248657200906,1.34297571738812,0.17940184292607
"355",355,3000,"Logged",4.51603679513561,1.38811607556358,0.0414727906147715,0.0494548624063352,0.838598847450414,0.401761313680517
"356",356,3500,"Logged",4.51270683141902,1.36841287327339,0.0545760640120494,0.0462108585866024,1.18102250599326,0.237674075601396
"357",357,4000,"Logged",4.5599922214691,1.35954263429176,-0.0336002880628873,0.0431644461217015,-0.77842509476785,0.436364515744595
"358",358,4500,"Logged",4.53437932437653,1.34982141256081,0.0104278368778689,0.0405569312701545,0.25711602311348,0.797100969036653
"359",359,5000,"Logged",4.53966573541599,1.34786164665347,-0.00393692310096548,0.0382555781376867,-0.102911086242012,0.918037667545823
"360",360,5500,"Logged",4.53264429316451,1.34241438916423,0.0276296001976734,0.0364804816779918,0.757380355927207,0.448854478938387
"361",361,6000,"Logged",4.55999989610225,1.36901260086352,-0.00858869867967935,0.0349627968923533,-0.245652506180299,0.805959645095316
"362",362,6500,"Logged",4.57466503958464,1.35283415926281,-0.0338329240773529,0.033608309852761,-1.00668329426787,0.314124476942869
"363",363,7000,"Logged",4.55230649033821,1.36117179463175,0.00876256848421728,0.0323601750243996,0.27078248117046,0.786566320631311
"364",364,7500,"Logged",4.56301047444049,1.36576808469085,-0.0162066550446361,0.0311692301597094,-0.519956860069823,0.603108993412468
"365",365,8000,"Logged",4.57674083239135,1.34303272091328,-0.0413383877364531,0.0301293604833598,-1.37203004223352,0.170092566214849
"366",366,8500,"Logged",4.56320906454194,1.33927837723792,-0.0158761505126416,0.0292902427752805,-0.542028641908025,0.587812986606831
"367",367,9000,"Logged",4.56284504635963,1.34433493501147,-0.0245332151990577,0.0284544151845366,-0.862193618809295,0.388603957804175
"368",368,9500,"Logged",4.5431929438436,1.35069120715987,-0.000685658337538897,0.0276562838131858,-0.024792135565661,0.98022128486366
"369",369,10000,"Logged",4.5389020380355,1.32404790600457,0.00619713079448035,0.0269514164932052,0.229937109095647,0.818145343869796
"370",370,10500,"Logged",4.5490214183503,1.33624789133959,-0.00653990020496616,0.0262128592327167,-0.249492058340725,0.802985064525203
"371",371,11000,"Logged",4.56378994411119,1.34265105474906,-0.0299112534347338,0.0255957830069262,-1.16860083657686,0.24258982050661
"372",372,11500,"Logged",4.5629363612188,1.34082135212659,-0.0210130627232607,0.0250159625348173,-0.839986176586836,0.400933602595617
"373",373,12000,"Logged",4.56819278955999,1.3427237658966,-0.0253462377144517,0.0244720487723759,-1.03572193526611,0.300352760003464
"374",374,12500,"Logged",4.54058384172008,1.35682733894666,0.0289822289069914,0.0239832654494318,1.20843548048533,0.226902662561611
"375",375,13000,"Logged",4.55937892439104,1.35381586033183,-0.00207393709283809,0.0234938635728316,-0.0882756932000065,0.929658917478061
"376",376,13500,"Logged",4.55939284615721,1.35042211931646,-0.00248489421277578,0.0230847323409632,-0.107642322903021,0.914281023037252
"377",377,14000,"Logged",4.54635903330813,1.34484198727572,0.0261575027712531,0.0226696238478671,1.15385693855323,0.248578525906629
